,title,artist_name
701,Non E Vero Ma Ci Credo,Swing Out Sister
702,Caipirinha,Swing Out Sister
703,Where Our Love Grows (A Cappella),Swing Out Sister
704,Rotation,Tom Verlaine
705,Souvenir From A Dream (LP Version),Tom Verlaine
706,True Story,Tom Verlaine
707,Today,Jefferson Starship
708,Miracles,Jefferson Starship
709,Things To Come,Jefferson Starship
710,Girl With The Hungry Eyes,Jefferson Starship
711,Stairway To Cleveland,Jefferson Starship
712,Shining In The Moonlight,Jefferson Starship
713,Lightning Rose,Jefferson Starship
714,Sweeter Than Honey,Jefferson Starship
715,Tumblin,Jefferson Starship
716,Sandalphon,Jefferson Starship
717,The Windows of Heaven,Jefferson Starship
718,Let it live,Jefferson Starship
719,Millennium Beyond,Jefferson Starship
720,I Can't Live A Dream,The Osmonds
721,Having a Party,The Osmonds
722,You're Messing Up A Good Thing,Bobby Womack
723,Point Of No Return,Bobby Womack
724,Everyone's Gone To The Moon,Bobby Womack
725,I Wanna Make Love To You,Bobby Womack
726,If You Think You're Lonely Now,Bobby Womack
727,So Many Sides Of You,Bobby Womack
728,Lay Your Lovin' On Me,Bobby Womack
729,Secrets,Bobby Womack
730,Games,Bobby Womack
731,Never Meant To Hurt You (Album Version) (Explicit),Good Shoes
732,Everything You Do,Good Shoes
733,Then She Walks Away,Good Shoes
734,In The City,Good Shoes
735,Wait,Good Shoes
736,Morden,Good Shoes
737,Under Control,Good Shoes
738,You've Got What It Takes,Jimmy Ruffin
739,I Want Her Love,Jimmy Ruffin
740,Beauty Is Only Skin Deep,Jimmy Ruffin
741,I Just Keep It Inside,Pete Molinari
742,Love Lies Bleeding,Pete Molinari
743,A Lonesome Episode,Pete Molinari
744,Evening Mass,Willard Grant Conspiracy
745,Water & Roses,Willard Grant Conspiracy
746,Phoebe,Willard Grant Conspiracy
747,Lost Hours,Willard Grant Conspiracy
748,Solar Musick Suite (2006 Digital Remaster),Steve Hillage
749,Shimmer (2006 Digital Remaster),Steve Hillage
750,Radio,Steve Hillage
751,Searching For The Spark (2006 Digital Remaster),Steve Hillage
752,Everybody Wants To Call You Sweetheart,The 5th Dimension
753,Two Beautiful Souls In A Crazy World,Plantlife
754,Table 4 2,Plantlife
755,If I Wuz Ur Man,Plantlife
756,Real Folks,Plantlife
757,Why'd U Call Me (3am),Plantlife
758,Help Yourself,Sparkadia
759,Our Own Way,Sparkadia
760,Nightmare,Diamond Head
761,Lost At Sea,Diamond Head
762,Vladivostok,Luke Doucet
763,Help them See the Light,The Whispers
764,More of the Night,The Whispers
765,Needle In A Haystack,The Whispers
766,Creation of Love,The Whispers
767,We Need You,The Whispers
768,Walk With Me,The Whispers
769,La Femme A Barbe,Emily Loizeau
770,I'm Facing A World Of Anger,Emily Loizeau
771,Woman In A Bar,Lloyd Cole
772,A Gift,Lloyd Cole
773,Perfect Blue,Lloyd Cole
774,Forest Fire,Lloyd Cole
775,Fall Together,Lloyd Cole
776,past imperfect,Lloyd Cole
777,Four Wheel Drive,Bachman-Turner Overdrive
778,My Special Prayer (Gospel Version),Percy Sledge
779,Sweet Soul Music,Percy Sledge
780,Sweet soul music,Percy Sledge
781,Sudden Stop,Percy Sledge
782,High Cost Of Leaving (LP Version),Percy Sledge
783,Baby Help Me,Percy Sledge
784,You Really Got A Hold On Me,Percy Sledge
785,You're All Around Me,Percy Sledge
786,Got To Get Away,The Gap Band
787,Kissing Song,Dawn Landes
788,I Don't Need No Man,Dawn Landes
789,Goodnight Lover,Dawn Landes
790,Forest (French Version),Bran Van 3000
791,Gimme Sheldon,Bran Van 3000
792,Couch Surfer,Bran Van 3000
793,Oblonging,Bran Van 3000
794,Problems,Bran Van 3000
795,Sade (Bonus Track),Bran Van 3000
796,Gall Me - I'll Be Around (Medley),Bran Van 3000
797,Tom Tom Theme,Tom Tom Club
798,This Is A Foxy World,Tom Tom Club
799,Never Took A Penny,Tom Tom Club
800,Paths That Cross,Patti Smith
801,Summer Cannibals,Patti Smith
802,About A Boy,Patti Smith
803,Wicked Messenger,Patti Smith
804,Fireflies,Patti Smith
805,Libbie's Song,Patti Smith
806,Gloria,Patti Smith
807,Dream Of Life,Patti Smith
808,Blue Poles,Patti Smith
809,Last Call,Patti Smith
810,Waiting Underground,Patti Smith
811,Don't Say Nothing,Patti Smith
812,Trampin',Patti Smith
813,Cash,Patti Smith
814,But It's Alright (LP Version),Huey Lewis And The News
815,We're Not Here For A Long Time (We're Here For A Good Time) (LP Version),Huey Lewis And The News
816,Do You Believe In Love,Huey Lewis And The News
817,I Want A New Drug,Huey Lewis & The News
818,Bad Is Bad,Huey Lewis & The News
819,Pigeonhold,Port O'Brien
820,Don't Take My Advice,Port O'Brien
821,A Branch of You and Me,Port O'Brien
822,Simple Way,Port O'Brien
823,While You Sleep,The Mutton Birds
824,Nature,The Mutton Birds
825,White Valiant,The Mutton Birds
826,Amigone (LP Version),Goo Goo Dolls
827,Extra Pale (LP Version),Goo Goo Dolls
828,Artie,Goo Goo Dolls
829,String Of Lies (LP Version),The Goo Goo Dolls
830,So Far Away (LP Version),The Goo Goo Dolls
831,(Let It) Come Down Heavy,Thee Hypnotics
832,The Ghost Of Mayfield Lodge,Brand X
833,Earth Dance,Brand X
834,Soho,Brand X
835,Smacks Of Euphoric Hysteria,Brand X
836,Claire P.,Richard Pinhas
837,Stronger (cut 1),Alton Ellis
838,Mr Skabina,Alton Ellis
839,All My Tears Come Rolling,Alton Ellis
840,Mouth A Massy,Alton Ellis
841,I'm Just a Guy,Alton Ellis
842,Because of you,Screamin' Jay Hawkins
843,Heart Attack and Vine,Screamin' Jay Hawkins
844,Is You Is Or Is You Ain't My Baby,Screamin' Jay Hawkins
845,Voodoo Priestess,Screamin' Jay Hawkins
846,Guess Who,Screamin' Jay Hawkins
847,Africa Gone Funky,Screaming Jay Hawkins
848,I Put a Spell on You,Screamin' Jay Hawkins
849,Portrait of a Man,Screamin' Jay Hawkins
850,Live Love Or Die,Screaming Jay Hawkins
851,All Night,Screamin' Jay Hawkins
852,Fourteen Wives,Screamin' Jay Hawkins
853,Going_ Going_ Gone (Live),Stars
854,Fairytale Of New York,Stars
855,Death To Death,Stars
856,Look Up,Stars
857,The Woods,Stars
858,Romantic Comedy,Stars
859,Today Will Be Better_ I Swear!,Stars
860,Death to Death,Stars
861,The Comeback,Stars
862,On The Floor,THE FATBACK BAND
863,FEEL THE FIRE,THE FATBACK BAND
864,Cosmic Woman,THE FATBACK BAND
865,The Joint (You And Me),THE FATBACK BAND
866,December 1963,THE FATBACK BAND
867,Button Up Your Overcoat,The Bonzo Dog Band
868,Trouser Freak,The Bonzo Dog Band
869,I'm Gonna Bring A Watermelon To My Girl Tonight (2007 Digital Remaster),The Bonzo Dog Band
870,You Done My Brain In (2007 Digital Remaster),The Bonzo Dog Band
871,Look At Me I'm Wonderful (2007 Digital Remaster),The Bonzo Dog Band
872,Quiet Talks And Summer Walks (2007 Digital Remaster),The Bonzo Dog Band
873,What Do You Do? (2007 Digital Remaster),The Bonzo Dog Band
874,Mr Slaters Parrot (2007 Digital Remaster),The Bonzo Dog Band
875,Slush (2007 Digital Remaster),The Bonzo Dog Band
876,Rawlinson End (2007 Digital Remaster),The Bonzo Dog Band
877,The Strain,The Bonzo Dog Band
878,Love Is A Drug,Lutricia Mcneal
879,All That Matters,Lutricia Mcneal
880,"Poof"" You're Gone!",Lutricia Mcneal
881,Praise The Low,Ultra Vivid Scene
882,She Screamed,Ultra Vivid Scene
883,Kind Of A Drag,Ultra Vivid Scene
884,You Didnt Say Please,Ultra Vivid Scene
885,This Isnt Real,Ultra Vivid Scene
886,Blood Line,Ultra Vivid Scene
887,A Kiss And A Slap,Ultra Vivid Scene
888,How Did It Feel,Ultra Vivid Scene
889,Same Time Next Week,Phil Manzanera
890,Criollo (2000 Digital Remaster),Phil Manzanera
891,This Is Christmas,Luther Vandross
892,I Won't Let You Do That To Me,Luther Vandross
893,See Me,Luther Vandross
894,She's A Super Lady,Luther Vandross
895,Wait For Love,Luther Vandross
896,I'd Rather,Luther Vandross
897,I Can't Wait No Longer (Let's Do This),"Luther Vandross featuring Deidre ""Spin"" Roper of Salt-n-Pepa"
898,Pearly Gates,Prefab Sprout
899,When Love Breaks Down,Prefab Sprout
900,The King Of Rock 'N' Roll,Prefab Sprout
901,Appetite,Prefab Sprout
902,The Venus Of The Soup Kitchen,Prefab Sprout
903,Nancy (Let Your Hair Down For Me),Prefab Sprout
904,Cars And Girls,Prefab Sprout
905,Jesse James Symphony,Prefab Sprout
906,Hey Manhattan!,Prefab Sprout
907,Don't Sing,Prefab Sprout
908,Life's A Miracle,Prefab Sprout
909,Streets Of Laredo/Not Long For This World,Prefab Sprout
910,O Come_ O Come_ Emmanuel,Christopher Cross
911,Talking In My Sleep (Album Version),Christopher Cross
912,Minstrel Gigolo (Album Version),Christopher Cross
913,The Light Is On (Album Version),Christopher Cross
914,Up The Down Escalator,The Chameleons
915,Tomorrow Never Knows,The Chameleons UK
916,Singing Rule Britannia,The Chameleons
917,Talkin' Out The Side Of Your Neck,Cameo
918,She's Strange,Cameo
919,A Goodbye,Cameo
920,Money (Album Version),Cameo
921,Another Love (Album Version),Cameo
922,Attack Me With Your Love,Cameo
923,Insane,Cameo
924,Word Up (live),Cameo
925,Ugly Ego,Cameo
926,Give Love A Chance,Cameo
927,Word Up,Cameo
928,Fool Yourself (2006 Remastered LP Version),Little Feat
929,Skinhead Moonstomp,Symarip
930,Try Me Best,Symarip
931,Fung Shu,Symarip
932,Angel (My Life Began With You),Simon Webbe
933,No Worries,Simon Webbe
934,Unjustified,Simon Webbe
935,All I Want,Simon Webbe
936,In A Country Churchyard,Chris De Burgh
937,Brother John,Chris De Burgh
938,Just Another Poor Boy,Chris De Burgh
939,It's Me (And I'm Ready To Go),Chris De Burgh
940,Oh My Brave Hearts,Chris De Burgh
941,Writing On The Wall,Hazel O'Connor
942,Blackman,Hazel O'Connor
943,Driftwood,Hazel O'Connor
944,I'll See You Again,Hazel O'Connor
945,Who Will Care?,Hazel O'Connor
946,End Of My Days,Hazel O'Connor
947,Fear Of Flying,Hazel O'Connor
948,Ee-i-addio,Hazel O'Connor
949,Aciiid! (Album Version),Jem
950,Falling for You,Jem
951,I Admire You (2007 Digital Remaster),Howard Devoto
952,Cold Imagination (2007 Digital Remaster),Howard Devoto
953,The Vibe (LP Version),Lamont Dozier
954,Feeling Each Other Out (LP Version),Lamont Dozier
955,Make It Right,George McCrae
956,Every Single Day,Dodgy
957,One Day,Dodgy
958,Ain't No Longer Asking,Dodgy
959,As My Time Goes By,Dodgy
960,Grand Old English Oak Tree,Dodgy
961,Water Under The Bridge,Dodgy
962,Words Of Wisdom,The Farm
963,Family Of Man,The Farm
964,Don't Turn Around,Albert Hammond
965,It Never Rains In Southern California,Albert Hammond
966,Pistol,Trisha Yearwood
967,Georgia Rain,Trisha Yearwood
968,Some Days,Trisha Yearwood
969,Like We Never Had A Broken Heart,Trisha Yearwood
970,O Mexico,Trisha Yearwood
971,That Ain't The Way I Heard It,Trisha Yearwood
972,Love Wouldn't Lie To Me,Trisha Yearwood
973,Get Yours,Grandmaster Flash
974,All Rapped Up,Grandmaster Flash
975,Testimony,Grant Lee Buffalo
976,Everybody Needs A Little Sanctuary,Grant Lee Buffalo
977,Side By Side,Grant Lee Buffalo
978,Demon Called Deception,Grant Lee Buffalo
979,Two Shades Of Hope,Foy Vance
980,Pull Me Through,Foy Vance
981,So Many Reasons,James & Bobby Purify
982,You Can't Keep A Good Man Down,James & Bobby Purify
983,Shake A Tail Feather,James & Bobby Purify
984,Fight Against The Hours,Lene Marlin
985,From This Day,Lene Marlin
986,All I Can Say,Lene Marlin
987,The Way We Are,Lene Marlin
988,Playing My Game (Acoustic Version),Lene Marlin
989,The Bed,St. Vincent
990,Laughing With A Mouth Of Blood,St. Vincent
991,Paris Is Burning,St. Vincent
992,Almost,Lucie Silvas
993,Granny_ Will Your Dog Bite?,Seals and Crofts
994,Love Conquers All,Seals and Crofts
995,Castles In The Sand (Album Version),Seals and Crofts
996,Try Your Love,Seals and Crofts
997,Generation Devoid Of Inspiration,Kinesis
998,...And They Obey,Kinesis
999,You Are Being Lied To,Kinesis
1000,Ayisha Abyss,Serena-Maneesh
1001,Magdalena (Symphony #8),Serena-Maneesh
1002,Camera On A Pole,Ali Love
1003,Diminishing Returns,Ali Love
1004,Bad Boy Boogie,Mark Kozelek
1005,Little Sisters Of Beijing,These Are Powers
1006,Into Eternity,Jens Lekman
1007,It Was a Strange Time in My Life,Jens Lekman
1008,And I Remember Every Kiss,Jens Lekman
1009,Sky Phenomenon,Jens Lekman
1010,F-Word,Jens Lekman
1011,You Are The Light,Jens Lekman
1012,Crumpled Up Guy,Misty's Big Adventure
1013,I Can't Bring The Time Back,Misty's Big Adventure
1014,Singsong,Misty's Big Adventure
1015,Misty's Big Adventure,Misty's Big Adventure
1016,Fighting for my Life,Misty's Big Adventure
1017,There's A Lot Going On In My Mind,Misty's Big Adventure
1018,Dark Matter No 1,Misty's Big Adventure
1019,Dark Matter No 2,Misty's Big Adventure
1020,St. Louis Blues,Jackie Wilson
1021,As Long As I Live,Jackie Wilson
1022,I'm Gonna Move To The Outskirts Of Town,Jackie Wilson
1023,'Cause I Said So,The Godfathers
1024,Come Share The Wine,Al Martino
1025,I Love You Because,Al Martino
1026,Heaven Must Be Missing An Angel,Tavares
1027,Bad Times (Theme From Defiance),Tavares
1028,I'm Back For More (2004 Digital Remaster),Tavares
1029,Black Betty,Ram Jam
1030,Let It All Out,Ram Jam
1031,Wanna Find Love,Ram Jam
1032,Twenty-Nine Ways (To My Baby's Door),Koko Taylor
1033,I Love A Lover Like You,Koko Taylor
1034,If It Takes All Night,Barkays
1035,Read Between The Lines,Barkays
1036,Too Hot to Stop,Larry D
1037,Shake Your Rump To The Funk,The Bar-Kays
1038,Let's Have Some Fun,The Bar-Kays
1039,Son Of Shaft,The Bar-Kays
1040,Sang And Dance,The Bar-Kays
1041,Let It Ride,Bachman-Turner Overdrive
1042,Don't Get Yourself In Trouble,Bachman-Turner Overdrive
1043,Gimme Your Money Please,Bachman-Turner Overdrive
1044,Not Fragile,Bachman-Turner Overdrive
1045,Sledgehammer,Bachman-Turner Overdrive
1046,Give It Time,Bachman-Turner Overdrive
1047,Wishful Thinking (LP Version),Patrice Rushen
1048,Message In The Music (LP Version),Patrice Rushen
1049,Call On Me (LP Version),Patrice Rushen
1050,Givin' It Up Is Givin' Up (LP Version),Patrice Rushen
1051,I Need Your Love (LP Version),Patrice Rushen
1052,Remind Me (LP Version),Patrice Rushen
1053,Mrs. Blackhouse,The Sensational Alex Harvey Band
1054,Dance To The Music,The Sensational Alex Harvey Band
1055,Jack,The Monochrome Set
1056,Kissy Kissy,The Monochrome Set
1057,All Over,The Monochrome Set
1058,House of God (Live),The Monochrome Set
1059,He's Frank,The Monochrome Set
1060,The Strange Boutique,The Monochrome Set
1061,Plan B,Jeff Beck
1062,Play With Me,Jeff Beck
1063,Rice Pudding,The Jeff Beck Group
1064,Space Boogie,Jeff Beck
1065,American Money,New Fast Automatic Daffodils
1066,What Kind Of Hell Is This?,New Fast Automatic Daffodils
1067,Funky Fire,The Aggrolites
1068,Ever Want To Try,The Aggrolites
1069,By Her Side,The Aggrolites
1070,Hip To It,The Aggrolites
1071,Grave Digger (Album Version),The Aggrolites
1072,A.G.G.R.O. (Album Version),The Aggrolites
1073,(clip),Fire Engines
1074,Plastic Gift,Fire Engines
1075,Sympathetic Anaesthetic,Fire Engines
1076,Get Up and Use Me (Version),Fire Engines
1077,Meat Whiplash,Fire Engines
1078,Angel In My Pocket (LP Version),Change
1079,Let's Go Together (LP Version),Change
1080,Hard Times (It's Gonna Be Alright) (LP Version),Change
1081,This Is Your Time (LP Version),Change
1082,All My Love (LP Version),KC & The Sunshine Band
1083,I Betcha Didn't Know That (LP Version),KC & The Sunshine Band
1084,That's The Way (I Like It),KC & The Sunshine Band
1085,Don't Run,KC & The Sunshine Band
1086,On The Top,KC & The Sunshine Band
1087,Funky '75,KC & The Sunshine Band
1088,I've Got The Feeling,KC And The Sunshine Band
1089,I Will Love You Tomorrow,KC And The Sunshine Band
1090,Wide Sargasso Trio,Sargasso Trio
1091,Pressurize,Sargasso Trio
1092,You Make Me Sweat,Sargasso Trio
1093,High On Rebellion,Patti Smith Group
1094,Blue Millionaire,Marianne Faithfull
1095,Dear God Please Help Me,Marianne Faithfull
1096,In My Time Of Sorrow,Marianne Faithfull
1097,Corrine Corrina,Marianne Faithfull
1098,Summer Nights,Marianne Faithfull
1099,Some Gave All,Billy Ray Cyrus
1100,Achy Breaky Heart,Billy Ray Cyrus
1101,One Last Thrill,Billy Ray Cyrus
1102,Power In The Darkness,THE TOM ROBINSON BAND
1103,Bully For You,THE TOM ROBINSON BAND
1104,Days Of Rage,THE TOM ROBINSON BAND
1105,Clickity Clak,Alela Diane
1106,The Pirate's Gospel,Alela Diane
1107,Something's Gone Awry,Alela Diane
1108,Tatted Lace (Album Version),Alela Diane
1109,Take us Back (Album Version),Alela Diane
1110,Diamonds And Gold,Langhorne Slim_ The War Eagles
1111,Kaleidoscope World,The Chills
1112,Rolling Moon,The Chills
1113,House With A Hundred Rooms,The Chills
1114,Flame Thrower,The Chills
1115,Sleeping Giants,The Chills
1116,Soft Bomb III,The Chills
1117,Effloresce And Deliquesce,The Chills
1118,Mad Racket,Krokus
1119,Rock N Roll Tonight,Krokus
1120,Shoot Down The Night,Krokus
1121,Hoodoo Woman,Krokus
1122,Rock'n Roll Handshake,Krokus
1123,To Rock Or Not To Be,Krokus
1124,Shotgun Boogie,Krokus
1125,Electric Man,Krokus
1126,Out Of Control,Krokus
1127,Lowdown,Boz Scaggs
1128,Breakdown Dead Ahead,Boz Scaggs
1129,Look What You've Done To Me,Boz Scaggs
1130,My Love (Song for a Butterfly),Andreas Johnson
1131,The Pretty Ones,Andreas Johnson
1132,Deadly Happy,Andreas Johnson
1133,Patiently,Andreas Johnson
1134,Please (do me right),Andreas Johnson
1135,Unbreakable,Andreas Johnson
1136,Still My World,Andreas Johnson
1137,Nobody Told Me (Such A Fool),Andreas Johnson
1138,Sing For Me,Andreas Johnson
1139,Waterloo,Andreas Johnson
1140,Can't Take My Eyes Off You,Andreas Johnson
1141,Sign Your Name,Andreas Johnson
1142,Medicine Wheel,Aimee Mann
1143,Thirty One Today,Aimee Mann
1144,How Am I Different,Aimee Mann
1145,You're With Stupid Now,Aimee Mann
1146,4th of July,Aimee Mann
1147,Wise Up,Aimee Mann
1148,It's Not (Live from the BBC),Aimee Mann
1149,Video,Aimee Mann
1150,Goodbye Caroline,Aimee Mann
1151,That's How I Knew This Story Would Break My Heart,Aimee Mann
1152,Could've Been Anyone,Aimee Mann
1153,Be My Baby,Anita Ward
1154,I Won't Stop Loving You,Anita Ward
1155,Babylon Sisters,Steely Dan
1156,My Old School,Steely Dan
1157,Josie,Steely Dan
1158,Only A Fool Would Say That,Steely Dan
1159,Green Book (Album Version),Steely Dan
1160,Things I Miss The Most,Steely Dan
1161,Cousin Dupree,Steely Dan
1162,Jack Of Speed (Album Version),Steely Dan
1163,With You I Stand,Betty Everett
1164,Down In The Country,Betty Everett
1165,(It's A) Big World,Joe Jackson
1166,Mad At You,Joe Jackson
1167,Amateur Hour,Joe Jackson
1168,Watch The Sunrise,Big Star
1169,Slut,Big Star
1170,I Am The Cosmos,Big Star
1171,Kanga Roo,Big Star
1172,Life Is White,Big Star
1173,Holocaust,Big Star
1174,Don't Lie To Me (Studio Rehearsal),Big Star
1175,Mod Lang (Studio Rehearsal),Big Star
1176,With Love,Thin Lizzy
1177,Genocide,Thin Lizzy
1178,Whiskey In The Jar,Thin Lizzy
1179,Hollywood (Down On Your Luck),Thin Lizzy
1180,Cold Sweat,Thin Lizzy
1181,Emerald,Thin Lizzy
1182,Bad Habits,Thin Lizzy
1183,The Holy War,Thin Lizzy
1184,Look What The Wind Blew In,Thin Lizzy
1185,Little Girl In Bloom,Thin Lizzy
1186,Take It Easy,Horace Andy
1187,Thank You Lord,Horace Andy
1188,Must Haffi Get It,Horace Andy
1189,Living In The Flood,Horace Andy
1190,Empress Lady,Horace Andy
1191,I'm Here Again,Thelma Houston
1192,It's Just Me Feeling Good,Thelma Houston
1193,Flying Scotsman,Spear Of Destiny
1194,The Man Who Tunes The Drums,Spear Of Destiny
1195,All My Love (Ask Nothing),Spear Of Destiny
1196,Up All Night,Spear Of Destiny
1197,Cole Younger,Spear Of Destiny
1198,Come Back,Spear Of Destiny
1199,Cold Press Rail,Chris Bathgate
1200,Coda,Chris Bathgate
1201,Railway Hotel,Mike Batt
1202,Into The Sunshine,El Perro Del Mar
1203,Somebody's Baby,El Perro Del Mar
1204,It Is Something (Album Version),El Perro Del Mar
1205,Closer To The Stars,Soul Asylum
1206,Cartoon,Soul Asylum
1207,See You Later,Soul Asylum
1208,Growing Into You,Soul Asylum
1209,All Is Well,Soul Asylum
1210,Lately,Soul Asylum
1211,Never Gonna Be The Same,Danny Wilson
1212,Nothing Ever Goes To Plan,Danny Wilson
1213,From A Boy To A Man,Danny Wilson
1214,It's Time,Boyzone
1215,Shooting Star,Boyzone
1216,Picture Of You,Boyzone
1217,Father And Son,Boyzone
1218,Should Be Missing You Now,Boyzone
1219,Caroline Goodbye,Colin Blunstone
1220,Misty Roses,Colin Blunstone
1221,Rolling Stone,Suzi Quatro
1222,Shakin' All Over,Suzi Quatro
1223,Move It,Suzi Quatro
1224,I May Be Too Young,Suzi Quatro
1225,Wake Up Little Susie,Suzi Quatro
1226,Empty Rooms,Suzi Quatro
1227,Make Love To Me,Suzi Quatro
1228,They Always Knew,Jeffrey & Jack Lewis
1229,Anxiety Attack,Jeffrey & Jack Lewis
1230,Wave of Mutilation,Kristin Hersh
1231,Sundrops,Kristin Hersh
1232,A Loon,Kristin Hersh
1233,Velvet Days,Kristin Hersh
1234,Costa Rica,Kristin Hersh
1235,Snake Oil,Kristin Hersh
1236,Sinkhole,Kristin Hersh
1237,Gentle Hum,Finn Brothers
1238,You Be The Dam_ I'll Be The Water,38 Special
1239,Last Thing I Ever Do,38 Special
1240,Tear It Up,38 Special
1241,Jimmy Gillum,38 Special
1242,Bone Against Steel,38 Special
1243,Wild-Eyed Southern Boys,38 Special
1244,Twentieth Century Fox,38 Special
1245,Caught Up In You,38 Special
1246,Back Where You Belong,38 Special
1247,Upstairs By A Chinese Lamp,Laura Nyro
1248,Timer,Laura Nyro
1249,The Confession,Laura Nyro
1250,I Met Him On A Sunday,Laura Nyro;LaBelle
1251,And When I Die,Laura Nyro
1252,New York Tendaberry,Laura Nyro
1253,Wedding Bell Blues,Laura Nyro
1254,Bloodline,Monkey Swallows The Universe
1255,Matterhoney,Monkey Swallows The Universe
1256,1-2-3,Len Barry
1257,Islands In The Stream,Dolly Parton & Kenny Rogers
1258,Heartbeat,Tippa Irie
1259,"Wouldnit ""swing",Yoko Ono
1260,Everyman Everywoman (Basement Jaxx Classic II Mix),Yoko Ono
1261,Everyman Everywoman (Murk Space Mix),Yoko Ono
1262,Hell In Paradise (Peter Rauhofer Reconstruction Mix),Yoko Ono
1263,You're Driving Me Insane,Ike Turner
1264,Two Of A Kind,Beverley Craven
1265,Holding On,Beverley Craven
1266,Castle In The Clouds,Beverley Craven
1267,Your Girl_ My Man,Beverley Craven
1268,Fun_ Fun_ Fun,Beverley Craven
1269,Stripped,Jesus Jones
1270,Real Real Real,Jesus Jones
1271,Who? Where? Why? (The Crisis 12' Mix),Jesus Jones
1272,Real Real Real  (Rhythm 1) ('Raw' Mix),Jesus Jones
1273,All The Answers,Jesus Jones
1274,Chemical #1,Jesus Jones
1275,The Devil You Know,Jesus Jones
1276,The Right Decision (Moody Reconstruction Mix),Jesus Jones
1277,The Right Decision,Jesus Jones
1278,Don't Believe It,Jesus Jones
1279,Under The Spell,The Doobie Brothers
1280,I Can Read Your Mind,The Doobie Brothers
1281,Here To Love You,The Doobie Brothers
1282,Don't Stop To Watch The Wheels,The Doobie Brothers
1283,Open Your Eyes (LP Version),The Doobie Brothers
1284,No Stoppin' Us Now (LP Version),The Doobie Brothers
1285,Eyes Of Silver,The Doobie Brothers
1286,Wild Ride,The Doobie Brothers
1287,Excited,The Doobie Brothers
1288,China Grove,The Doobie Brothers
1289,Slow Burn,The Doobie Brothers
1290,Takin' It to the Streets,The Doobie Brothers
1291,The Captain And Me (LP Version),The Doobie Brothers
1292,Spirit (LP Version),The Doobie Brothers
1293,This Romance Will Be Different For Me (Album Version),Jonathan Richman
1294,As My Mother Lay Lying (Album Version),Jonathan Richman
1295,The Lonely Little Thrift Store (Album Version),Jonathan Richman
1296,If She Don't Love Me (Album Version),Jonathan Richman
1297,I'm So Confused (Album Version),Jonathan Richman
1298,In My Child Mind You Were A Lion,David Karsten Daniels
1299,Everytime A Baby Is Born,David Karsten Daniels
1300,Sharp Teeth I,David Karsten Daniels
1301,Paradise (Will Shine Like The Moon),The Mission
1302,Mama Weer All Crazee Now,The Mission
1303,Child's Play,The Mission
1304,In silhouette,The Mission
1305,Blood Brother,The Mission
1306,Severina,The Mission
1307,Garden Of Delight,The Mission
1308,Sexpot,Jr. Walker & The All Stars
1309,Hot Cha,Jr. Walker & The All Stars
1310,Pucker Up Buttercup,Jr. Walker & The All Stars
1311,The Way Of The Explosive,Finley Quaye
1312,Maverick A Strike,Finley Quaye
1313,Red Rolled And Seen,Finley Quaye
1314,Ride On And Turn The People On,Finley Quaye
1315,Ultra Stimulation,Finley Quaye
1316,Love Hit Me,Maxine Nightingale
1317,Fake Bjork Song,Liam Lynch
1318,Fake Talking Heads Song,Liam Lynch
1319,I'm All Bloody Inside,Liam Lynch
1320,Still Wasted From The Party Last Night,Liam Lynch
1321,Sugar Walkin',Liam Lynch
1322,Hitch Hiking Woman,Peter Green Splinter Group
1323,Black Magic Woman,Peter Green
1324,Rattlesnake Shake,Peter Green
1325,Shift (Alternate Version),Grizzly Bear
1326,Two Weeks (Fred Falke Extended Mix),Grizzly Bear
1327,Fine For Now,Grizzly Bear
1328,While You Wait For The Others,Grizzly Bear
1329,On a Neck_ On a Spit,Grizzly Bear
1330,Plans,Grizzly Bear
1331,Mambo sinuendo,Ry Cooder & Manuel Galban
1332,Maria la O,Ry Cooder & Manuel Galban
1333,Caballo viejo,Ry Cooder & Manuel Galban
1334,Let Your Love Come Down,Steve Winwood
1335,Lord Of The Street,Steve Winwood
1336,Valerie,Steve Winwood
1337,Eine Kleine Middle Klasse Musik,The Rutles
1338,Questionnaire,The Rutles
1339,The Knicker Elastic King,The Rutles
1340,It's Looking Good,The Rutles
1341,Cheese And Onions,The Rutles
1342,Send A Moses,Barrington Levy
1343,21 Girl Salute,Barrington Levy
1344,Stay In My Lonely Arms,The Elgins
1345,Darling Baby,The Elgins
1346,I Understand My Man,The Elgins
1347,Thank You Love,The Elgins
1348,Season's Greetings from The Elgins,The Elgins
1349,Dancing In Berlin (Astralasia Mix),Berlin
1350,Pray For Love,Love & Money
1351,Walk The Last Mile,Love & Money
1352,Razorsedge,Love & Money
1353,Halleluiah Man,Love & Money
1354,Tonight I Met An Angel,THE CHIFFONS
1355,Nobody Knows What's Going On (In My Mind But Me),THE CHIFFONS
1356,I Have A Boyfriend,THE CHIFFONS
1357,Remember Me Baby,THE CHIFFONS
1358,I Wonder Why,THE CHIFFONS
1359,He's So Fine (2000 Digital Remaster),THE CHIFFONS
1360,Walk Among Us,Gigolo Aunts
1361,Bloom,Gigolo Aunts
1362,Silver Pistol,Brinsley Schwarz
1363,Home In My Hand,Brinsley Schwarz
1364,Stoned Out of My Mind,The Chi-Lites
1365,Have You Seen Her,The Chi-Lites
1366,You Don't Own Me,Lesley Gore
1367,My Town My Guy And Me,Lesley Gore
